Shipper,Origin Subdistrict,Origin City,Destination Subdistrict,Destination City,Transporter Pricing,Status,Shipment Type,Distance
SHP-0001,Gunung Putri,Bogor,Beji,Pasuruan,"3,973,000",completed,w2w,798
SHP-0002,Cimanggung,Sumedang,Bawen,Semarang,"1,577,700",completed,w2w,390
SHP-0003,Klari,Karawang,Kalideres,Jakarta Barat,"2,888,700",completed,w2w,103
SHP-0003,Klari,Karawang,Kalideres,Jakarta Barat,"2,873,300",completed,w2w,103
SHP-0004,Nguter,Sukoharjo,Banjaran,Bandung,"2,244,200",completed,w2w,561
SHP-0005,Kelapa Gading,Jakarta Utara,Buduran,Sidoarjo,"7,101,600",completed,w2w,787
SHP-0006,Cikarang Barat,Bekasi,Cinambo,Bandung,"3,077,700",completed,mt,132
SHP-0006,Cikarang Barat,Bekasi,Penjaringan,Jakarta Utara,"2,452,300",completed,mt,50
SHP-0007,Margorejo,Pati,Leuwiliang,Bogor,"5,701,700",completed,w2w,569
SHP-0006,Cikarang Barat,Bekasi,Dayeuhkolot,Bandung,"2,902,200",completed,mt,124
SHP-0003,Klari,Karawang,Cihideung,Tasikmalaya,"3,590,700",completed,gt,197
SHP-0006,Cikarang Barat,Bekasi,Curug,Tangerang,"2,129,200",completed,mt,71
SHP-0003,Klari,Karawang,Kalideres,Jakarta Barat,"2,854,200",completed,w2w,103
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"7,055,400",completed,w2w,777
SHP-0009,Ngajung (Ngajum),Malang,Cikarang Selatan,Bekasi,"7,412,500",completed,w2w,834
SHP-0003,Klari,Karawang,Kalideres,Jakarta Barat,"2,858,000",completed,w2w,103
SHP-0003,Klari,Karawang,Kalideres,Jakarta Barat,"2,855,700",completed,w2w,103
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"7,047,900",completed,w2w,777
SHP-0009,Ngajung (Ngajum),Malang,Penjaringan,Jakarta Utara,"7,623,300",completed,w2w,885
SHP-0009,Driyorejo,Gresik,Cikupa,Tangerang,"3,224,000",completed,w2w,798
SHP-0010,Pungging,Mojokerto,Cilandak,Jakarta Selatan,"4,794,400",completed,mt,763.253
SHP-0011,Telukjambe Timur,Karawang,Buahbatu (Margacinta),Bandung,"2,388,000",completed,w2w,103
SHP-0011,Telukjambe Timur,Karawang,Buahbatu (Margacinta),Bandung,"2,332,100",completed,w2w,103
SHP-0012,Pati,Pati,Kosambi,Tangerang,"5,682,300",completed,w2w,550
SHP-0006,Cikarang Barat,Bekasi,Parung,Bogor,"2,128,800",completed,mt,64
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"2,929,600",completed,w2w,777
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"6,489,200",completed,w2w,814
SHP-0013,Cibinong,Bogor,Pademangan,Jakarta Utara,"2,590,300",completed,w2w,60
SHP-0013,Cibinong,Bogor,Jagakarsa,Jakarta Selatan,"2,558,900",completed,w2w,44
SHP-0006,Cikarang Barat,Bekasi,Cikarang Utara,Bekasi,"96,300",completed,mt,17
SHP-0006,Cikarang Barat,Bekasi,Cikarang Utara,Bekasi,"109,000",completed,mt,17
SHP-0003,Gununganyar,Surabaya,Blimbing,Malang,"2,215,900",completed,w2w,92
SHP-0008,Cikarang Utara,Bekasi,Manyar,Gresik,"2,885,300",completed,w2w,773
